id,parent_id,aibs_id,aibs_parent_id,name,acronym,red,green,blue
5000,0,997,,root,root,255,255,255
5001,5000,8,997,Basic cell groups and regions,grey,191,218,227
5002,5001,567,8,Cerebrum,CH,176,240,255
5003,5002,688,567,Cerebral cortex,CTX,176,255,184
5004,5003,695,688,Cortical plate,CTXpl,112,255,112
5005,5004,315,695,Isocortex,Isocortex,112,255,113
5006,5005,184,315,"Frontal pole, cerebral cortex",FRP,38,143,69
5007,5006,68,184,"Frontal pole, layer 1",FRP1,38,143,69
5008,5006,667,184,"Frontal pole, layer 2/3",FRP2/3,38,143,69
5009,5006,526157192,184,"Frontal pole, layer 5",FRP5,38,143,69
5010,5006,526157196,184,"Frontal pole, layer 6a",FRP6a,38,143,69
5011,5006,526322264,184,"Frontal pole, layer 6b",FRP6b,38,143,69
5012,5005,500,315,Somatomotor areas,MO,31,157,90
5013,5012,107,500,"Somatomotor areas, Layer 1",MO1,31,157,90
5014,5012,219,500,"Somatomotor areas, Layer 2/3",MO2/3,31,157,90
5015,5012,299,500,"Somatomotor areas, Layer 5",MO5,31,157,90
5016,5012,644,500,"Somatomotor areas, Layer 6a",MO6a,31,157,90
5017,5012,947,500,"Somatomotor areas, Layer 6b",MO6b,31,157,90
5018,5012,985,500,Primary motor area,MOp,31,157,90
5019,5018,320,985,"Primary motor area, Layer 1",MOp1,31,157,90
5020,5018,943,985,"Primary motor area, Layer 2/3",MOp2/3,31,157,90
5021,5018,648,985,"Primary motor area, Layer 5",MOp5,31,157,90
5022,5018,844,985,"Primary motor area, Layer 6a",MOp6a,31,157,90
5023,5018,882,985,"Primary motor area, Layer 6b",MOp6b,31,157,90
5024,5012,993,500,Secondary motor area,MOs,31,157,90
5025,5024,656,993,"Secondary motor area, layer 1",MOs1,31,157,90
5026,5024,962,993,"Secondary motor area, layer 2/3",MOs2/3,31,157,90
5027,5024,767,993,"Secondary motor area, layer 5",MOs5,31,157,90
5028,5024,1021,993,"Secondary motor area, layer 6a",MOs6a,31,157,90
5029,5024,1085,993,"Secondary motor area, layer 6b",MOs6b,31,157,90
5030,5005,453,315,Somatosensory areas,SS,24,128,100
5031,5030,12993,453,"Somatosensory areas, layer 1",SS1,24,128,100
5032,5030,12994,453,"Somatosensory areas, layer 2/3",SS2/3,24,128,100
5033,5030,12995,453,"Somatosensory areas, layer 4",SS4,24,128,100
5034,5030,12996,453,"Somatosensory areas, layer 5",SS5,24,128,100
5035,5030,12997,453,"Somatosensory areas, layer 6a",SS6a,24,128,100
5036,5030,12998,453,"Somatosensory areas, layer 6b",SS6b,24,128,100
5037,5030,322,453,Primary somatosensory area,SSp,24,128,100
5038,5037,793,322,"Primary somatosensory area, layer 1",SSp1,24,128,100
5039,5037,346,322,"Primary somatosensory area, layer 2/3",SSp2/3,24,128,100
5040,5037,865,322,"Primary somatosensory area, layer 4",SSp4,24,128,100
5041,5037,921,322,"Primary somatosensory area, layer 5",SSp5,24,128,100
5042,5037,686,322,"Primary somatosensory area, layer 6a",SSp6a,24,128,100
5043,5037,719,322,"Primary somatosensory area, layer 6b",SSp6b,24,128,100
5044,5037,353,322,"Primary somatosensory area, nose",SSp-n,24,128,100
5045,5044,558,353,"Primary somatosensory area, nose, layer 1",SSp-n1,24,128,100
5046,5044,838,353,"Primary somatosensory area, nose, layer 2/3",SSp-n2/3,24,128,100
5047,5044,654,353,"Primary somatosensory area, nose, layer 4",SSp-n4,24,128,100
5048,5044,702,353,"Primary somatosensory area, nose, layer 5",SSp-n5,24,128,100
5049,5044,889,353,"Primary somatosensory area, nose, layer 6a",SSp-n6a,24,128,100
5050,5044,929,353,"Primary somatosensory area, nose, layer 6b",SSp-n6b,24,128,100
5051,5037,329,322,"Primary somatosensory area, barrel field",SSp-bfd,24,128,100
5052,5051,981,329,"Primary somatosensory area, barrel field, layer 1",SSp-bfd1,24,128,100
5053,5051,201,329,"Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3,24,128,100
5054,5051,1047,329,"Primary somatosensory area, barrel field, layer 4",SSp-bfd4,24,128,100
5055,5051,1070,329,"Primary somatosensory area, barrel field, layer 5",SSp-bfd5,24,128,100
5056,5051,1038,329,"Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a,24,128,100
5057,5051,1062,329,"Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b,24,128,100
5058,5051,480149202,329,Rostrolateral lateral visual area,VISrll,24,128,100
5059,5058,480149206,480149202,"Rostrolateral lateral visual area, layer 1",VISrll1,24,128,100
5060,5058,480149210,480149202,"Rostrolateral lateral visual area, layer 2/3",VISrll2/3,24,128,100
5061,5058,480149214,480149202,"Rostrolateral lateral visual area, layer 4",VISrll4,24,128,100
5062,5058,480149218,480149202,"Rostrolateral lateral visual area,layer 5",VISrll5,24,128,100
5063,5058,480149222,480149202,"Rostrolateral lateral visual area, layer 6a",VISrll6a,24,128,100
5064,5058,480149226,480149202,"Rostrolateral lateral visual area, layer 6b",VISrll6b,24,128,100
5065,5037,337,322,"Primary somatosensory area, lower limb",SSp-ll,24,128,100
5066,5065,1030,337,"Primary somatosensory area, lower limb, layer 1",SSp-ll1,24,128,100
5067,5065,113,337,"Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3,24,128,100
5068,5065,1094,337,"Primary somatosensory area, lower limb, layer 4",SSp-ll4,24,128,100
5069,5065,1128,337,"Primary somatosensory area, lower limb, layer 5",SSp-ll5,24,128,100
5070,5065,478,337,"Primary somatosensory area, lower limb, layer 6a",SSp-ll6a,24,128,100
5071,5065,510,337,"Primary somatosensory area, lower limb, layer 6b",SSp-ll6b,24,128,100
5072,5037,345,322,"Primary somatosensory area, mouth",SSp-m,24,128,100
5073,5072,878,345,"Primary somatosensory area, mouth, layer 1",SSp-m1,24,128,100
5074,5072,657,345,"Primary somatosensory area, mouth, layer 2/3",SSp-m2/3,24,128,100
5075,5072,950,345,"Primary somatosensory area, mouth, layer 4",SSp-m4,24,128,100
5076,5072,974,345,"Primary somatosensory area, mouth, layer 5",SSp-m5,24,128,100
5077,5072,1102,345,"Primary somatosensory area, mouth, layer 6a",SSp-m6a,24,128,100
5078,5072,2,345,"Primary somatosensory area, mouth, layer 6b",SSp-m6b,24,128,100
5079,5037,369,322,"Primary somatosensory area, upper limb",SSp-ul,24,128,100
5080,5079,450,369,"Primary somatosensory area, upper limb, layer 1",SSp-ul1,24,128,100
5081,5079,854,369,"Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3,24,128,100
5082,5079,577,369,"Primary somatosensory area, upper limb, layer 4",SSp-ul4,24,128,100
5083,5079,625,369,"Primary somatosensory area, upper limb, layer 5",SSp-ul5,24,128,100
5084,5079,945,369,"Primary somatosensory area, upper limb, layer 6a",SSp-ul6a,24,128,100
5085,5079,1026,369,"Primary somatosensory area, upper limb, layer 6b",SSp-ul6b,24,128,100
5086,5037,361,322,"Primary somatosensory area, trunk",SSp-tr,24,128,100
5087,5086,1006,361,"Primary somatosensory area, trunk, layer 1",SSp-tr1,24,128,100
5088,5086,670,361,"Primary somatosensory area, trunk, layer 2/3",SSp-tr2/3,24,128,100
5089,5086,1086,361,"Primary somatosensory area, trunk, layer 4",SSp-tr4,24,128,100
5090,5086,1111,361,"Primary somatosensory area, trunk, layer 5",SSp-tr5,24,128,100
5091,5086,9,361,"Primary somatosensory area, trunk, layer 6a",SSp-tr6a,24,128,100
5092,5086,461,361,"Primary somatosensory area, trunk, layer 6b",SSp-tr6b,24,128,100
5093,5037,182305689,322,"Primary somatosensory area, unassigned",SSp-un,24,128,100
5094,5093,182305693,182305689,"Primary somatosensory area, unassigned, layer 1",SSp-un1,24,128,100
5095,5093,182305697,182305689,"Primary somatosensory area, unassigned, layer 2/3",SSp-un2/3,24,128,100
5096,5093,182305701,182305689,"Primary somatosensory area, unassigned, layer 4",SSp-un4,24,128,100
5097,5093,182305705,182305689,"Primary somatosensory area, unassigned, layer 5",SSp-un5,24,128,100
5098,5093,182305709,182305689,"Primary somatosensory area, unassigned, layer 6a",SSp-un6a,24,128,100
5099,5093,182305713,182305689,"Primary somatosensory area, unassigned, layer 6b",SSp-un6b,24,128,100
5100,5030,378,453,Supplemental somatosensory area,SSs,24,128,100
5101,5100,873,378,"Supplemental somatosensory area, layer 1",SSs1,24,128,100
5102,5100,806,378,"Supplemental somatosensory area, layer 2/3",SSs2/3,24,128,100
5103,5100,1035,378,"Supplemental somatosensory area, layer 4",SSs4,24,128,100
5104,5100,1090,378,"Supplemental somatosensory area, layer 5",SSs5,24,128,100
5105,5100,862,378,"Supplemental somatosensory area, layer 6a",SSs6a,24,128,100
5106,5100,893,378,"Supplemental somatosensory area, layer 6b",SSs6b,24,128,100
5107,5005,1057,315,Gustatory areas,GU,0,156,117
5108,5107,36,1057,"Gustatory areas, layer 1",GU1,0,156,117
5109,5107,180,1057,"Gustatory areas, layer 2/3",GU2/3,0,156,117
5110,5107,148,1057,"Gustatory areas, layer 4",GU4,0,156,117
5111,5107,187,1057,"Gustatory areas, layer 5",GU5,0,156,117
5112,5107,638,1057,"Gustatory areas, layer 6a",GU6a,0,156,117
5113,5107,662,1057,"Gustatory areas, layer 6b",GU6b,0,156,117
5114,5005,677,315,Visceral area,VISC,17,173,131
5115,5114,897,677,"Visceral area, layer 1",VISC1,17,173,131
5116,5114,1106,677,"Visceral area, layer 2/3",VISC2/3,17,173,131
5117,5114,1010,677,"Visceral area, layer 4",VISC4,17,173,131
5118,5114,1058,677,"Visceral area, layer 5",VISC5,17,173,131
5119,5114,857,677,"Visceral area, layer 6a",VISC6a,17,173,131
5120,5114,849,677,"Visceral area, layer 6b",VISC6b,17,173,131
5121,5005,247,315,Auditory areas,AUD,1,147,153
5122,5121,1011,247,Dorsal auditory area,AUDd,1,147,153
