region_id,region_name,acronym,hierarchy_level,is_lowest_level,n_A,n_B,n_A_eff,n_B_eff,mean_A,mean_B,median_A,median_B,std_A,std_B,sem_A,sem_B,mean_diff,ci_low,ci_high,fold_change,log2_fold_change,log2fc_ci_low,log2fc_ci_high,p_value,p_corrected,significant_uncorrected,significant_corrected
5556,"Layer 6b, isocortex",6b,5,False,6,6,0,0,,,,,,,,,,,,,,,,,,,
5805,Dopaminergic A13 group,A13,7,False,6,6,0,0,,,,,,,,,,,,,,,,,,,
5595,Anterior amygdalar area,AAA,6,True,6,6,6,6,158.480999789834,118.89618082565795,130.89317859634144,123.03865876594207,109.99416639353151,42.187217113238056,44.90493039115694,17.222859265907264,39.58481896417604,-36.007018611326295,134.60323800390196,1.3329360008814815,0.41460751303945054,-0.4625204173517377,1.1927995272201726,0.5111488851114888,0.9207766723327667,0.0,0.0
5220,Anterior cingulate area,ACA,6,False,6,6,6,6,724.4184397257355,1018.0321783878411,697.3285858989079,974.7669427940966,322.1187930972815,354.6290021982053,131.504446608248,144.77668389632285,-293.61373866210556,-637.2747455814947,43.36893792683546,0.7115869764283157,-0.49088798846191645,-1.1039538942884128,0.07073997231750907,0.15508449155084492,,0.0,
5221,"Anterior cingulate area, layer 1",ACA1,7,False,6,6,0,0,,,,,,,,,,,,,,,,,,,
5222,"Anterior cingulate area, layer 2/3",ACA2/3,7,False,6,6,0,0,,,,,,,,,,,,,,,,,,,
5223,"Anterior cingulate area, layer 5",ACA5,7,False,6,6,0,0,,,,,,,,,,,,,,,,,,,
5224,"Anterior cingulate area, layer 6a",ACA6a,7,False,6,6,0,0,,,,,,,,,,,,,,,,,,,
5225,"Anterior cingulate area, layer 6b",ACA6b,7,False,6,6,0,0,,,,,,,,,,,,,,,,,,,
5226,"Anterior cingulate area, dorsal part",ACAd,7,True,6,6,6,6,746.6509113092671,1063.8549345944193,716.6519288619864,987.3256765322824,351.40132152569095,443.79438596238316,143.45898877960562,181.17829938660276,-317.2040232851522,-722.6808762366218,72.3726373808441,0.7018352662846067,-0.5107956518272442,-1.1848587307275755,0.11733929788953928,0.21207879212078792,0.8185935504810175,0.0,0.0
5227,"Anterior cingulate area, dorsal part, layer 1",ACAd1,8,False,6,6,6,6,1131.7555392025804,1638.683681820696,925.1175095092967,1497.971380004641,572.2076945627496,560.8612414382891,233.6028130955108,228.97064300462148,-506.92814261811554,-1080.5538164827449,66.55046851226568,0.6906491788245052,-0.5339750275363288,-1.2074877946780647,0.0669922379259734,0.1543845615438456,,0.0,
5228,"Anterior cingulate area, dorsal part, layer 2/3",ACAd2/3,8,False,6,6,6,6,822.591192169121,1258.4394311427538,673.2274557692333,945.7505139048224,496.6059284869635,961.4843845479936,202.73852133902227,392.5243562994179,-435.8482389736329,-1292.9587939392081,259.5411356988106,0.6536597406377745,-0.6133882515763153,-1.592640713775167,0.4037110449869794,0.41535846415358463,,0.0,
5229,"Anterior cingulate area, dorsal part, layer 5",ACAd5,8,False,6,6,6,6,626.3252159280729,906.2245994122276,488.67652549414424,732.0213429550436,409.8432761045556,485.45107026439285,167.31781682779385,198.18456953929103,-279.89938348415467,-747.3537706073855,169.74039039639734,0.6911368509906971,-0.5329566900661628,-1.4889734117502675,0.3260534017673614,0.3120687931206879,,0.0,
5230,"Anterior cingulate area, dorsal part, layer 6a",ACAd6a,8,False,6,6,6,6,530.8940892134716,623.9866408507405,526.8260662276543,570.93244950093,294.1767571186868,308.1477609380955,120.09715818790694,125.80079661324463,-93.09255163726891,-400.098586951776,217.09446393498692,0.8508100245377899,-0.23309106315699982,-1.0871986813757188,0.5500420988964143,0.6064393560643936,,0.0,
5231,"Anterior cingulate area, dorsal part, layer 6b",ACAd6b,8,False,6,6,6,6,371.8166640424951,567.1822232614757,370.3816109894715,719.7057084976095,353.05502432293804,296.52761917810057,144.13411011951703,121.05689360477896,-195.36555921898054,-520.1809820323076,145.75120185458331,0.6555506304559983,-0.609220885779797,-2.1187532868800933,0.44178993476544937,0.2947705229477052,,0.0,
5232,"Anterior cingulate area, ventral part",ACAv,7,True,6,6,6,6,692.9529255292045,955.168918603243,669.7097796657674,957.8453588071884,292.13300477577775,251.9859773684074,119.26279978778281,102.872844481518,-262.21599307403847,-540.9174404148534,18.32141302336969,0.7254768366442654,-0.4629985428860801,-1.0314409103667737,0.029180560978071517,0.1347865213478652,0.8185935504810175,0.0,0.0
5233,"Anterior cingulate area, ventral part, layer 1",ACAv1,8,False,6,6,6,6,1307.5178815358297,1732.5788595762021,1390.844295462712,1693.1946925579837,532.3198597859027,256.8871043833103,217.31867273755807,104.87372120669838,-425.06097804037245,-868.2912674598643,-7.13665465330412,0.754665725204367,-0.4060903423444326,-0.9559265864747287,-0.006243323208518266,0.10888911108889111,,0.0,
5234,"Anterior cingulate area, ventral part, layer 2/3",ACAv2/3,8,False,6,6,6,6,768.2217657891352,1131.0159006928322,751.794207764526,1005.3532063372265,343.850669169475,470.2469701264622,140.37644786329352,191.97752164993946,-362.794134903697,-789.0330157048634,31.362442200696986,0.6792316229316862,-0.558024466996573,-1.2278732168751536,0.0477024555854047,0.15278472152784722,,0.0,
5235,"Anterior cingulate area, ventral part, layer 5",ACAv5,8,False,6,6,6,6,451.64897004701874,630.3498353794877,375.94685726338275,607.2744482304518,273.1514876211162,251.2063899831729,111.51362785898174,102.55457926422882,-178.70086533246894,-436.83696647494395,98.59276720383222,0.7165052558078544,-0.4809508077061282,-1.2577682126402454,0.25861207797564983,0.26077392260773924,,0.0,
5236,"Anterior cingulate area, ventral part, 6a",ACAv6a,8,False,6,6,6,6,398.00545977439043,545.0417432001758,386.8688145966236,537.0983910633887,254.13271151920785,245.68037439112146,103.74924502866268,100.29859284569717,-147.03628342578537,-405.85512916821386,108.87208360158894,0.7302293168180628,-0.4535785044780262,-1.3788509279599268,0.32361880328894366,0.32636736326367366,,0.0,
5237,"Anterior cingulate area, ventral part, 6b",ACAv6b,8,False,6,6,6,6,387.351190043807,509.11625769072504,427.5230829727118,471.3604506955593,264.40934838165686,292.75688058398737,107.9446644594754,119.51749601994615,-121.76506764691806,-417.15167581550537,151.157393806465,0.7608305258228717,-0.39435296413342447,-1.5415179412121274,0.5205774492856453,0.48155184481551844,,0.0,
5575,Nucleus accumbens,ACB,6,False,6,6,6,6,545.6576136736247,692.3266436656623,512.7190412527411,642.1449650155622,255.2802170273386,184.1072312787246,104.21771219065494,75.16146243157438,-146.66902999203762,-374.9492901038209,87.36071763865242,0.7881505336621613,-0.34345688979091504,-0.9769494165267886,0.18800045798688808,0.28077192280771923,,0.0,
5576,"Nucleus accumbens, core",ACBc,7,True,6,6,6,6,639.5041516017922,786.835759349507,620.8690326069864,760.1319275796186,290.7106810047276,151.04093425729326,118.68213853976546,61.6622032006047,-147.33160774771488,-382.07073808782616,100.46312267930684,0.8127543060962088,-0.2991088003332336,-0.8893750673063414,0.18175090448740874,0.29717028297170284,0.8525072492750725,0.0,0.0
5577,"Nucleus accumbens, shell",ACBsh,7,True,6,6,6,6,517.6505111423501,663.7536307777963,480.3296476548044,617.1951954023749,244.92814759705507,197.48474594825646,99.99149754297846,80.62280992606601,-146.1031196354462,-373.98659199524104,87.16695687716889,0.7798835096928353,-0.35866944852696014,-0.9997758398860551,0.2010384710972042,0.27947205279472054,0.8481592630210664,0.0,0.0
5968,Accessory abducens nucleus,ACVI,6,False,6,6,0,0,,,,,,,,,,,,,,,,,,,
5970,Accessory facial motor nucleus,ACVII,6,True,6,6,6,6,0.0,151.76805765041055,0.0,0.0,0.0,236.2799359934178,0.0,96.4608799402238,-151.76805765041055,-328.2051282051281,0.0,0.0,,,,0.45455454454554545,0.9007712962609318,0.0,0.0
5681,Anterodorsal nucleus,AD,7,True,6,6,6,6,31.859870102175847,50.11966206560371,21.947833534765458,59.40948658456432,31.70062498673241,32.344576742042435,12.941725957469528,13.204618160716048,-18.259791963427865,-49.24774639157175,16.063765119284415,0.6356760757978204,-0.6536363024720748,-2.3488506947144385,0.6006143700420737,0.34906509349065096,0.8901935893367185,0.0,0.0
5737,Anterodorsal preoptic nucleus,ADP,6,True,6,6,6,6,128.92760154907174,176.2949307263848,102.49192515202365,199.35836945016155,137.58211849922606,143.11672117449564,56.167664675705666,58.42715675628119,-47.36732917731305,-184.3208989449609,104.49875594368737,0.7313176902923623,-0.4514298342038429,-2.2426411265367343,1.0924836057017446,0.5620437956204379,0.9457680430040064,0.0,0.0
5738,Anterior hypothalamic area,AHA,6,False,6,6,0,0,,,,,,,,,,,,,,,,,,,
5759,Anterior hypothalamic nucleus,AHN,6,True,6,6,6,6,82.81561833647697,78.7287190554341,49.64759320006016,77.66760984021494,98.05667026966412,19.58693318850173,40.031468006169085,7.996331989635734,4.086899281042875,-54.588608787840144,85.86059044088783,1.051911161899703,0.07301286841475371,-1.5658247671271694,1.0936354247869484,0.9732026797320268,1.0,0.0,0.0
5760,"Anterior hypothalamic nucleus, anterior part",AHNa,7,False,6,6,0,0,,,,,,,,,,,,,,,,,,,
5761,"Anterior hypothalamic nucleus, central part",AHNc,7,False,6,6,0,0,,,,,,,,,,,,,,,,,,,
5762,"Anterior hypothalamic nucleus, dorsal part",AHNd,7,False,6,6,0,0,,,,,,,,,,,,,,,,,,,
5763,"Anterior hypothalamic nucleus, posterior part",AHNp,7,False,6,6,0,0,,,,,,,,,,,,,,,,,,,
5278,Agranular insular area,AI,6,False,6,6,6,6,781.640388313111,960.894898490862,655.8365344016248,1015.5202365987034,348.8717831785249,203.31629949386232,142.42630907371228,83.00353169180808,-179.25451017775106,-452.0138407398087,134.230326877168,0.8134504507628461,-0.29787362436242065,-0.8341770447832335,0.19994507993303925,0.3000699930006999,,0.0,
5279,"Agranular insular area, dorsal part",AId,7,True,6,6,6,6,715.6168843124623,861.4108242649054,624.1672077186386,926.4763262959295,338.33673325113006,198.7826333072852,138.1253929509019,81.15267022160415,-145.7939399524431,-414.5313717352921,158.36021739560857,0.8307498166431122,-0.2675140253908824,-0.8557335444029714,0.26066911339779536,0.3842615738426157,0.8901935893367185,0.0,0.0
5280,"Agranular insular area, dorsal part, layer 1",AId1,8,False,6,6,6,6,97.43141998042722,134.04538448392205,86.30702388570083,126.5625314107599,49.42003651152747,40.730015468614695,20.175645420492785,16.627959185628647,-36.61396450349483,-82.66924451187657,10.547059300341836,0.7268539708065334,-0.46026254746161055,-1.1351077677721095,0.12328119057488822,0.1927807219278072,,0.0,
5281,"Agranular insular area, dorsal part, layer 2/3",AId2/3,8,False,6,6,6,6,691.282018773907,827.7846311228396,684.2437885122176,886.995539512712,335.921866248963,180.9260568770628,137.1395276255696,73.86275342042853,-136.50261234893264,-405.91792097586756,146.13427120520535,0.835098880533968,-0.25998106375563457,-0.9099111797547578,0.2525763976261961,0.40785921407859216,,0.0,
5282,"Agranular insular area, dorsal part, layer 5",AId5,8,False,6,6,6,6,858.2139871149802,1079.5600525620403,750.81130577824,1131.111092278859,398.05021347877334,255.80301294375658,162.50331917148495,104.43114272979406,-221.34606544706003,-546.4952834342903,139.83696734753522,0.7949664171791502,-0.3310341788833865,-0.9043269618107898,0.18527025430107924,0.2638736126387361,,0.0,
5283,"Agranular insular area, dorsal part, layer 6a",AId6a,8,False,6,6,6,6,902.5618694770342,988.68196188953,802.5081879004217,995.8528396051772,490.4354248314006,300.6370731174543,200.2194237703377,122.73457115026011,-86.12009241249586,-486.8378114329133,351.52890070824907,0.9128940390012714,-0.13148068076652042,-0.8503313174529822,0.49253535633054396,0.7250274972502749,,0.0,
5284,"Agranular insular area, dorsal part, layer 6b",AId6b,8,False,6,6,6,6,802.9385152590984,832.9315442868397,850.0448532334069,876.6713417484804,429.8516518409668,226.6016821991075,175.48620201714235,92.50974937402123,-29.993029027741272,-383.7301660564955,322.85947247892545,0.9639910035422882,-0.052908412338235636,-0.8056516914404093,0.5265391997691435,0.8762123787621238,,0.0,
5285,"Agranular insular area, posterior part",AIp,7,True,6,6,6,6,895.3625283300411,1101.7266363957076,677.8957523442234,1053.4809337705888,421.9233027275945,240.15913159974792,172.2494670454074,98.04455491488301,-206.36410806566653,-530.3832615768597,167.61179235993995,0.8126902797405484,-0.2992224560144547,-0.8591073053881666,0.22318415979948153,0.31596840315968405,0.8789666487896666,0.0,0.0
5286,"Agranular insular area, posterior part, layer 1",AIp1,8,False,6,6,6,6,231.02004273729642,310.8418468183796,161.51653296349673,310.4575042964442,172.9992803156344,107.1998275224186,70.62666044033638,43.76414632404837,-79.8218040810832,-215.70526499018052,72.27781495239208,0.7432076636460022,-0.4281627166233649,-1.4307334195499435,0.3523030650349648,0.3447655234476552,,0.0,
